,State,Candidate,#,Year
4,Arizona,Barack ObamaDemocratic,1025232.0,2012
5,Arizona,Mitt RomneyRepublican,1233654.0,2012
18,Florida,Barack ObamaDemocratic,4237756.0,2012
19,Florida,Mitt RomneyRepublican,4163447.0,2012
20,Georgia,Barack ObamaDemocratic,1773827.0,2012
21,Georgia,Mitt RomneyRepublican,2078688.0,2012
44,Michigan,Barack ObamaDemocratic,2564569.0,2012
45,Michigan,Mitt RomneyRepublican,2115256.0,2012
66,North Carolina,Barack ObamaDemocratic,2178391.0,2012
67,North Carolina,Mitt RomneyRepublican,2270395.0,2012
70,Ohio,Barack ObamaDemocratic,2827709.0,2012
71,Ohio,Mitt RomneyRepublican,2661437.0,2012
76,Pennsylvania,Barack ObamaDemocratic,2990274.0,2012
77,Pennsylvania,Mitt RomneyRepublican,2680434.0,2012
86,Texas,Barack ObamaDemocratic,3308124.0,2012
87,Texas,Mitt RomneyRepublican,4569843.0,2012
98,Wisconsin,Barack ObamaDemocratic,1620985.0,2012
99,Wisconsin,Mitt RomneyRepublican,1407966.0,2012
